Season_year,Season_div,Date,OPP,Result,T Score,O Score,MIN,PTS
2017-2018,Regular,Thu 11/2,SAS,W,112,92,32.0,21
2017-2018,Regular,Mon 10/30,LAC,W,141,113,30.0,31
2017-2018,Regular,Sun 10/29,DET,L,107,115,35.0,27
2017-2018,Regular,Fri 10/27,WSH,W,120,117,36.0,20
2017-2018,Regular,Wed 10/25,TOR,W,117,112,38.0,30
2017-2018,Regular,Mon 10/23,DAL,W,133,103,31.0,29
2017-2018,Regular,Sat 10/21,MEM,L,101,111,30.0,37
2017-2018,Regular,Fri 10/20,NOP,W,128,120,35.0,28
2017-2018,Regular,Tue 10/17,HOU,L,121,122,30.0,22
2018-2019,Regular,Tue 4/9,NOP,W,112,103,9.0,5
2018-2019,Regular,Sun 4/7,LAC,W,131,104,30.0,27
2018-2019,Regular,Fri 4/5,CLE,W,120,114,36.0,40
2018-2019,Regular,Thu 4/4,LAL,W,108,90,29.0,7
2018-2019,Regular,Tue 4/2,DEN,W,116,102,30.0,17
2018-2019,Regular,Sun 3/31,CHA,W,137,90,27.0,25
2018-2019,Regular,Fri 3/29,MIN,L,130,131,42.0,37
2018-2019,Regular,Wed 3/27,MEM,W,118,103,33.0,28
2018-2019,Regular,Sun 3/24,DET,W,121,114,35.0,26
2018-2019,Regular,Thu 3/21,IND,W,112,89,29.0,15
2018-2019,Regular,Tue 3/19,MIN,W,117,107,33.0,36
2018-2019,Regular,Mon 3/18,SAS,L,105,111,37.0,25
2018-2019,Regular,Sat 3/16,OKC,W,110,88,33.0,33
2018-2019,Regular,Wed 3/13,HOU,W,106,104,35.0,24
2018-2019,Regular,Sun 3/10,PHX,L,111,115,35.0,18
2018-2019,Regular,Fri 3/8,DEN,W,122,105,34.0,17
2018-2019,Regular,Tue 3/5,BOS,L,95,128,31.0,23
2018-2019,Regular,Sat 3/2,PHI,W,120,117,36.0,28
2018-2019,Regular,Thu 2/28,ORL,L,96,103,37.0,33
2018-2019,Regular,Wed 2/27,MIA,L,125,126,34.0,24
2018-2019,Regular,Mon 2/25,CHA,W,121,110,35.0,16
2018-2019,Regular,Sat 2/23,HOU,L,112,118,36.0,25
2018-2019,Regular,Thu 2/21,SAC,W,125,123,36.0,36
2018-2019,Regular,Wed 2/13,POR,L,107,129,33.0,32
2018-2019,Regular,Tue 2/12,UTA,W,115,108,36.0,24
2018-2019,Regular,Sun 2/10,MIA,W,120,118,36.0,25
2018-2019,Regular,Fri 2/8,PHX,W,117,107,36.0,20
2018-2019,Regular,Wed 2/6,SAS,W,141,102,29.0,19
2018-2019,Regular,Sat 2/2,LAL,W,115,101,33.0,14
2018-2019,Regular,Thu 1/31,PHI,L,104,113,38.0,41
2018-2019,Regular,Mon 1/28,IND,W,132,100,27.0,26
2018-2019,Regular,Sat 1/26,BOS,W,115,111,38.0,24
2018-2019,Regular,Thu 1/24,WSH,W,126,118,35.0,38
2018-2019,Regular,Mon 1/21,LAL,W,130,111,30.0,11
2018-2019,Regular,Fri 1/18,LAC,W,112,94,33.0,28
2018-2019,Regular,Wed 1/16,NOP,W,147,140,35.0,41
2018-2019,Regular,Tue 1/15,DEN,W,142,111,30.0,31
2018-2019,Regular,Sun 1/13,DAL,W,119,114,37.0,48
2018-2019,Regular,Fri 1/11,CHI,W,146,109,27.0,28
2018-2019,Regular,Tue 1/8,NYK,W,122,95,32.0,14
2018-2019,Regular,Sat 1/5,SAC,W,127,123,38.0,42
2018-2019,Regular,Thu 1/3,HOU,L,134,135,40.0,35
2018-2019,Regular,Mon 12/31,PHX,W,132,109,32.0,34
2018-2019,Regular,Sat 12/29,POR,W,115,105,36.0,25
2018-2019,Regular,Thu 12/27,POR,L,109,110,42.0,29
2018-2019,Regular,Tue 12/25,LAL,L,101,127,37.0,15
2018-2019,Regular,Sun 12/23,LAC,W,129,127,36.0,42
2018-2019,Regular,Sat 12/22,DAL,W,120,116,39.0,22
2018-2019,Regular,Wed 12/19,UTA,L,103,108,37.0,32
2018-2019,Regular,Mon 12/17,MEM,W,110,93,35.0,20
2018-2019,Regular,Fri 12/14,SAC,W,130,125,36.0,35
2018-2019,Regular,Wed 12/12,TOR,L,93,113,33.0,10
2018-2019,Regular,Mon 12/10,MIN,W,116,108,36.0,38
2018-2019,Regular,Fri 12/7,MIL,W,105,95,36.0,20
2018-2019,Regular,Wed 12/5,CLE,W,129,105,34.0,42
2018-2019,Regular,Mon 12/3,ATL,W,128,111,29.0,30
2018-2019,Regular,Sat 12/1,DET,L,102,111,37.0,27
2018-2019,Regular,Thu 11/8,MIL,L,111,134,26.0,10
2018-2019,Regular,Mon 11/5,MEM,W,117,101,32.0,19
2018-2019,Regular,Fri 11/2,MIN,W,116,99,35.0,28
2018-2019,Regular,Wed 10/31,NOP,W,131,121,37.0,37
2018-2019,Regular,Mon 10/29,CHI,W,149,124,25.0,23
2018-2019,Regular,Sun 10/28,BKN,W,120,114,36.0,35
2018-2019,Regular,Fri 10/26,NYK,W,128,100,33.0,29
2018-2019,Regular,Wed 10/24,WSH,W,144,122,32.0,51
2018-2019,Regular,Mon 10/22,PHX,W,123,103,30.0,29
2018-2019,Regular,Sun 10/21,DEN,L,98,100,39.0,30
2018-2019,Regular,Fri 10/19,UTA,W,124,123,37.0,31
2018-2019,Regular,Tue 10/16,OKC,W,108,100,37.0,32
2019-2020,Regular,Thu 3/5,TOR,L,113,121,27.0,23
2019-2020,Regular,Wed 10/30,PHX,L,110,121,21.0,9
2019-2020,Regular,Mon 10/28,NOP,W,134,123,31.0,26
2019-2020,Regular,Sun 10/27,OKC,L,92,120,30.0,23
2019-2020,Regular,Thu 10/24,LAC,L,122,141,30.0,23
2020-2021,Regular,Sun 5/16,MEM,W,113,101,40.0,46
2020-2021,Regular,Tue 5/11,PHX,W,122,116,37.0,21
2020-2021,Regular,Mon 5/10,UTA,W,119,116,37.0,36
2020-2021,Regular,Sat 5/8,OKC,W,136,97,29.0,49
2020-2021,Regular,Thu 5/6,OKC,W,118,97,31.0,34
2020-2021,Regular,Tue 5/4,NOP,L,103,108,37.0,37
2020-2021,Regular,Mon 5/3,NOP,W,123,108,35.0,41
2020-2021,Regular,Sat 5/1,HOU,W,113,87,30.0,30
2020-2021,Regular,Thu 4/29,MIN,L,114,126,37.0,37
2020-2021,Regular,Tue 4/27,DAL,L,103,133,30.0,27
2020-2021,Regular,Sun 4/25,SAC,W,117,113,38.0,37
2020-2021,Regular,Fri 4/23,DEN,W,118,97,34.0,32
2020-2021,Regular,Wed 4/21,WSH,L,114,118,36.0,18
2020-2021,Regular,Mon 4/19,PHI,W,107,96,37.0,49
2020-2021,Regular,Sat 4/17,BOS,L,114,119,37.0,47
2020-2021,Regular,Thu 4/15,CLE,W,119,101,35.0,33
2020-2021,Regular,Wed 4/14,OKC,W,147,109,29.0,42
2020-2021,Regular,Mon 4/12,DEN,W,116,107,36.0,53
2020-2021,Regular,Sat 4/10,HOU,W,125,109,35.0,38
2020-2021,Regular,Fri 4/9,WSH,L,107,110,35.0,32
2020-2021,Regular,Tue 4/6,MIL,W,122,121,38.0,41
2020-2021,Regular,Sun 4/4,ATL,L,111,117,37.0,37
2020-2021,Regular,Thu 4/1,MIA,L,109,116,36.0,36
2020-2021,Regular,Mon 3/29,CHI,W,116,102,30.0,32
2020-2021,Regular,Wed 3/17,HOU,W,108,94,30.0,18
2020-2021,Regular,Mon 3/15,LAL,L,97,128,29.0,27
2020-2021,Regular,Sun 3/14,UTA,W,131,119,36.0,32
2020-2021,Regular,Thu 3/11,LAC,L,104,130,27.0,14
2020-2021,Regular,Wed 3/3,POR,L,106,108,36.0,35
2020-2021,Regular,Sun 2/28,LAL,L,91,117,26.0,16
2020-2021,Regular,Fri 2/26,CHA,W,130,121,36.0,29
2020-2021,Regular,Wed 2/24,IND,W,111,107,36.0,24
2020-2021,Regular,Tue 2/23,NYK,W,114,106,37.0,37
2020-2021,Regular,Fri 2/19,ORL,L,120,124,37.0,29
2020-2021,Regular,Wed 2/17,MIA,W,120,112,42.0,25
2020-2021,Regular,Mon 2/15,CLE,W,129,98,30.0,36
2020-2021,Regular,Sat 2/13,BKN,L,117,134,34.0,27
2020-2021,Regular,Thu 2/11,ORL,W,111,105,37.0,40
2020-2021,Regular,Tue 2/9,SAS,W,114,91,32.0,32
2020-2021,Regular,Mon 2/8,SAS,L,100,105,36.0,32
2020-2021,Regular,Sat 2/6,DAL,L,132,134,37.0,57
2020-2021,Regular,Thu 2/4,DAL,W,147,116,30.0,28
2020-2021,Regular,Tue 2/2,BOS,L,107,111,38.0,38
2020-2021,Regular,Sat 1/30,DET,W,118,91,30.0,28
2020-2021,Regular,Thu 1/28,PHX,L,93,114,31.0,27
2020-2021,Regular,Wed 1/27,MIN,W,123,111,33.0,16
2020-2021,Regular,Mon 1/25,MIN,W,130,108,34.0,36
2020-2021,Regular,Sat 1/23,UTA,L,108,127,27.0,24
2020-2021,Regular,Thu 1/21,NYK,L,104,119,35.0,30
2020-2021,Regular,Wed 1/20,SAS,W,121,99,31.0,26
2020-2021,Regular,Mon 1/18,LAL,W,115,113,36.0,26
2020-2021,Regular,Thu 1/14,DEN,L,104,114,37.0,35
2020-2021,Regular,Tue 1/12,IND,L,95,104,36.0,20
2020-2021,Regular,Sun 1/10,TOR,W,106,105,38.0,11
2020-2021,Regular,Fri 1/8,LAC,W,115,105,36.0,38
2020-2021,Regular,Wed 1/6,LAC,L,101,108,35.0,13
2020-2021,Regular,Mon 1/4,SAC,W,137,106,31.0,30
2020-2021,Regular,Sun 1/3,POR,W,137,122,36.0,62
2020-2021,Regular,Fri 1/1,POR,L,98,123,34.0,26
2020-2021,Regular,Tue 12/29,DET,W,116,106,35.0,31
2020-2021,Regular,Sun 12/27,CHI,W,129,128,36.0,36
2020-2021,Regular,Fri 12/25,MIL,L,99,138,29.0,19
2020-2021,Regular,Tue 12/22,BKN,L,99,125,30.0,20
